reward_prob,stim_file
80,logs\sub-99\id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png
20,logs\sub-99\id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png
64,logs\sub-99\id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png
36,logs\sub-99\id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png
