subject_id,RL_order,face_gender
1,plusmin_plusneu,F
2,plusmin_plusneu,F
3,plusmin_plusneu,F
4,plusmin_plusneu,F
5,plusmin_plusneu,F
6,plusmin_plusneu,F
7,plusmin_plusneu,F
8,plusmin_plusneu,F
9,plusmin_plusneu,F
10,plusmin_plusneu,F
11,plusmin_plusneu,F
12,plusmin_plusneu,F
13,plusmin_plusneu,F
14,plusmin_plusneu,F
15,plusmin_plusneu,F
16,plusneu_plusmin,F
17,plusneu_plusmin,F
18,plusneu_plusmin,F
19,plusneu_plusmin,F
20,plusneu_plusmin,F
21,plusneu_plusmin,F
22,plusneu_plusmin,F
23,plusneu_plusmin,F
24,plusneu_plusmin,F
25,plusneu_plusmin,F
26,plusneu_plusmin,F
27,plusneu_plusmin,F
28,plusneu_plusmin,F
29,plusneu_plusmin,F
30,plusneu_plusmin,F
99,plusneu_plusmin,F
