phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,stim_csv,trial_csv,RL_wrong_instruction,RL_wrong_instruction_n,feedback_txt_incorrect,RL_session_notice,session_name,number_str,practice_reps,condition,left_face,right_face,rewarded_resp,correct_face,reward_prob,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,session_loop.thisRepN,session_loop.thisTrialN,session_loop.thisN,session_loop.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,real_trials.thisRepN,real_trials.thisTrialN,real_trials.thisN,real_trials.thisIndex,post_rating_loop.thisRepN,post_rating_loop.thisTrialN,post_rating_loop.thisN,post_rating_loop.thisIndex,post_neutral_face_loop.thisRepN,post_neutral_face_loop.thisTrialN,post_neutral_face_loop.thisN,post_neutral_face_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,practice_response.keys,practice_response.corr,practice_response.rt,real_RL_response.keys,real_RL_response.corr,real_RL_response.rt,post_rating_scale.response,post_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,80,180,26,,,,,,,,,,,,,,j,0,0.800406823,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,j,,,,,,,,,,,0,0,0,0,,,,,1,81,181,74,,,,,,,,,,,,,,f,0,1.400205669,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,82,182,76,,,,,,,,,,,,,,j,0,1.364932625,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,83,183,65,,,,,,,,,,,,,,f,1,1.900334444,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,84,184,52,,,,,,,,,,,,,,f,1,0.968280754,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,85,185,6,,,,,,,,,,,,,,f,1,0.63365928,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,86,186,14,,,,,,,,,,,,,,f,1,0.565100318,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,j,,,,,,,,,,,0,0,0,0,,,,,1,87,187,36,,,,,,,,,,,,,,j,1,0.833493643,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,88,188,81,,,,,,,,,,,,,,j,0,1.200198382,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,j,,,,,,,,,,,0,0,0,0,,,,,1,89,189,91,,,,,,,,,,,,,,j,1,1.133633566,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
learning,,,,,,,,,logs/sub-99/stims_session-plusneu.csv,logs/sub-99/trials_phase-learning_session-plusneu.csv,win je niks.,dat je niks wint.,(0 euro gewonnen), ,plusneu,eerste,1,64_vs_36,logs/sub-99/id-1274_gender-F_age-33_rewardprob-64_session-plusneu.png,logs/sub-99/id-1360_gender-F_age-20_rewardprob-36_session-plusneu.png,f,,,,,,,,,,,0,0,0,0,,,,,1,90,190,58,,,,,,,,,,,,,,f,1,1.134514199,,,99,M,FALSE,FALSE,2018_okt_15_1409,pilot_RL,29.99706506
