reward_choice	left_face	right_face	rewarded_resp	RT	actual_resp	rewarded	session	correct_resp	correct
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	1.266941366	j	1.0	plusmin	j	1
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	1.300359865	j	1.0	plusmin	j	1
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	1.467005264	j	1.0	plusmin	j	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	j	1.100696446	j	1.0	plusmin	j	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	j	1.233670303	j	1.0	plusmin	j	1
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	1.202056934	f	1.0	plusmin	f	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f	0.864626406	j	0.0	plusmin	f	0
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	1.200294054	j	1.0	plusmin	j	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	j	1.200314155	j	1.0	plusmin	j	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f	1.200316779	f	1.0	plusmin	f	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f	2.4670709090000003	f	1.0	plusmin	f	1
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	1.701367565	f	1.0	plusmin	f	1
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	1.332439479	f	1.0	plusmin	f	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	f	1.700337641	f	1.0	plusmin	j	0
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f	1.7003052419999998	f	1.0	plusmin	f	1
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	1.167143872	j	1.0	plusmin	j	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f	2.266748942	f	1.0	plusmin	f	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	j	1.901956365	j	1.0	plusmin	j	1
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	j	2.53356842	j	1.0	plusmin	j	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	j		None	0.0	plusmin	f	0
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	j	1.367118052	f	0.0	plusmin	f	1
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	f	2.266964495	j	0.0	plusmin	j	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	f		None	0.0	plusmin	f	0
64_vs_36	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	j	1.4337279090000001	f	0.0	plusmin	j	0
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	j	0.9001562359999999	j	1.0	plusmin	j	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	j	1.033671947	f	0.0	plusmin	f	1
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	1.066945924	f	1.0	plusmin	f	1
80_vs_20	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	f	1.2670862390000002	f	1.0	plusmin	f	1
64_vs_36	id-1285_gender-F_age-19_rewardprob-64_session-plusmin.png	id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png	j	0.63250687	j	1.0	plusmin	f	0
80_vs_20	id-1358_gender-F_age-32_rewardprob-20_session-plusmin.png	id-1270_gender-F_age-30_rewardprob-80_session-plusmin.png	f	1.034913268	j	0.0	plusmin	j	1
