phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1279_gender-F_age-19.png,19,F,0,0,0,1,0,17,17,7,1,5.718,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1344_gender-M_age-25.png,25,M,0,0,0,1,0,18,18,31,-1,3.568,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1354_gender-F_age-23.png,23,F,0,0,0,1,0,19,19,34,-1,5.135,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1358_gender-F_age-32.png,32,F,0,0,0,1,0,20,20,37,0,2.793,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1294_gender-F_age-26.png,26,F,0,0,0,1,0,21,21,14,-1,6.31,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1295_gender-F_age-26.png,26,F,0,0,0,1,0,22,22,15,-2,4.993,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1370_gender-M_age-19.png,19,M,0,0,0,1,0,23,23,44,2,2.893,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1297_gender-F_age-22.png,22,F,0,0,0,1,0,24,24,17,1,6.351,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1280_gender-M_age-18.png,18,M,0,0,0,1,0,25,25,8,-1,2.001,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1347_gender-F_age-27.png,27,F,0,0,0,1,0,26,26,33,-2,2.251,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1296_gender-F_age-23.png,23,F,0,0,0,1,0,27,27,16,-2,2.876,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1363_gender-M_age-19.png,19,M,0,0,0,1,0,28,28,41,-1,6.16,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1335_gender-M_age-23.png,23,M,0,0,0,1,0,29,29,27,1,2.301,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1311_gender-F_age-22.png,22,F,0,0,0,1,0,30,30,23,2,1.734,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1373_gender-F_age-30.png,30,F,0,0,0,1,0,31,31,45,1,2.059,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1285_gender-F_age-19.png,19,F,0,0,0,1,0,32,32,9,-1,4.993,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
