phase,condition,left_face,right_face,rewarded_resp,correct_resp
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
learning,80_vs_20,logs\sub-01\id-1323_gender-F_age-23_rewardprob-80_session-plusneu.png,logs\sub-01\id-1360_gender-F_age-20_rewardprob-20_session-plusneu.png,f,f
