reward_prob,stim_file
80,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png
20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png
64,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png
36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png
