reward_prob,stim_file
80,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png
20,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png
64,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png
36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png
