phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,RL_session_notice,RL_wrong_instruction,RL_wrong_instruction_n,feedback_txt_incorrect,number_str,practice_reps,session_name,stim_csv,trial_csv,condition,left_face,right_face,rewarded_resp,correct_resp,reward_prob,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,session_loop.thisRepN,session_loop.thisTrialN,session_loop.thisN,session_loop.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,real_trials.thisRepN,real_trials.thisTrialN,real_trials.thisN,real_trials.thisIndex,post_rating_loop.thisRepN,post_rating_loop.thisTrialN,post_rating_loop.thisN,post_rating_loop.thisIndex,post_neutral_face_loop.thisRepN,post_neutral_face_loop.thisTrialN,post_neutral_face_loop.thisN,post_neutral_face_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,practice_response.keys,practice_response.corr,practice_response.rt,real_RL_response.keys,real_RL_response.corr,real_RL_response.rt,post_rating_scale.response,post_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,0,96,96,96,,,,,,,,,,,,,,j,1,0.7670211847871542,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,0,97,97,3,,,,,,,,,,,,,,f,1,0.925394963240251,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,0,98,98,39,,,,,,,,,,,,,,j,1,0.8254372769733891,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,0,99,99,16,,,,,,,,,,,,,,f,1,0.7670397913316265,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,j,f,,,,,,,,,,0,0,0,0,,,,,1,0,100,73,,,,,,,,,,,,,,j,1,0.7586931687546894,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,1,1,101,64,,,,,,,,,,,,,,f,1,0.8003942013019696,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,2,102,92,,,,,,,,,,,,,,j,1,0.8670398233225569,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,1,3,103,56,,,,,,,,,,,,,,f,1,0.5753440038533881,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,f,j,,,,,,,,,,0,0,0,0,,,,,1,4,104,81,,,,,,,,,,,,,,j,0,0.4919855677289888,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,j,f,,,,,,,,,,0,0,0,0,,,,,1,5,105,23,,,,,,,,,,,,,,f,0,0.8337210223544389,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
