phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,RL_session_notice,RL_wrong_instruction,RL_wrong_instruction_n,feedback_txt_incorrect,number_str,practice_reps,session_name,stim_csv,trial_csv,condition,left_face,right_face,rewarded_resp,correct_resp,reward_prob,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,session_loop.thisRepN,session_loop.thisTrialN,session_loop.thisN,session_loop.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,real_trials.thisRepN,real_trials.thisTrialN,real_trials.thisN,real_trials.thisIndex,post_rating_loop.thisRepN,post_rating_loop.thisTrialN,post_rating_loop.thisN,post_rating_loop.thisIndex,post_neutral_face_loop.thisRepN,post_neutral_face_loop.thisTrialN,post_neutral_face_loop.thisN,post_neutral_face_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,practice_response.keys,practice_response.corr,practice_response.rt,real_RL_response.keys,real_RL_response.corr,real_RL_response.rt,post_rating_scale.response,post_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,1,6,106,52,,,,,,,,,,,,,,f,1,0.8670366153819486,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,1,7,107,51,,,,,,,,,,,,,,f,1,0.7170546924462542,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,8,108,88,,,,,,,,,,,,,,j,1,0.5086592440493405,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,9,109,47,,,,,,,,,,,,,,j,1,0.7753652408719063,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,j,f,,,,,,,,,,0,0,0,0,,,,,1,10,110,70,,,,,,,,,,,,,,f,0,0.6170190514530987,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,f,j,,,,,,,,,,0,0,0,0,,,,,1,11,111,77,,,,,,,,,,,,,,j,0,0.5920122264651582,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,1,12,112,19,,,,,,,,,,,,,,j,0,0.5754168259445578,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,13,113,94,,,,,,,,,,,,,,j,1,1.1254158795345575,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,14,114,90,,,,,,,,,,,,,,j,1,0.9753925731638446,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,1,15,115,1,,,,,,,,,,,,,,f,1,1.008723564678803,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,16,116,93,,,,,,,,,,,,,,j,1,0.5836947968928143,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,17,117,45,,,,,,,,,,,,,,j,1,0.9754336358746514,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,f,j,,,,,,,,,,0,0,0,0,,,,,1,18,118,82,,,,,,,,,,,,,,j,0,0.6837390995351598,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,19,119,38,,,,,,,,,,,,,,j,1,0.8753851627698168,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,20,120,40,,,,,,,,,,,,,,j,1,0.8337912780698389,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,1,21,121,59,,,,,,,,,,,,,,f,1,0.7169959858292714,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,64_vs_36,logs\sub-02\id-1356_gender-F_age-20_rewardprob-36_session-plusmin.png,logs\sub-02\id-1291_gender-F_age-24_rewardprob-64_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,22,122,84,,,,,,,,,,,,,,j,1,0.767080212244764,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f,,,,,,,,,,0,0,0,0,,,,,1,23,123,16,,,,,,,,,,,,,,f,1,1.033729748101905,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
learning,,,,,,,,, ,VERLIES je 0.1 euro.,"gestraft wordt, doordat je 0.1 euro verliest.",(0.1 euro verloren),eerste,1,plusmin,logs\sub-02\stims_session-plusmin.csv,logs\sub-02\trials_phase-learning_session-plusmin.csv,80_vs_20,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,j,j,,,,,,,,,,0,0,0,0,,,,,1,24,124,31,,,,,,,,,,,,,,j,1,0.5003357190871611,,,02,F,False,False,2018_Oct_19_1144,pilot_RL,119.98741298707412,
